id,text,nested,type,module,complexity,Purpose,Condition,Precondition,Trigger,Action,System_response,Entity,Main_actor
1,"A student shall be able to search study rooms with available seats by campus, date, and time range.",False,Functional,Search & Discovery,Conditional,,"seats by campus, date, and time range",,,search study rooms,,student &-& study rooms,student
2,"When the student is authenticated, the system shall allow reserving one or more seats in a study room for a chosen time slot.",True,Functional,Other,Conditional,,"When the student is authenticated, &-& student is authenticated &-& chosen time slot","When the student is authenticated, &-& student is authenticated","When the student is authenticated,",,,the student &-& seats,the student
3,"If the selected study room has insufficient available seats for the requested time slot, the system shall reject the reservation and suggest the nearest available slots.",True,Functional,Search & Discovery,Conditional,,"If the selected study room has insufficient available seats for the requested time slot, &-& selected study room has insufficient available",selected study room has insufficient available,,reject the reservation and suggest the nearest available slots.,reject the reservation and suggest the nearest available slots.,,
4,"A reservation shall include the room identifier, date, start time, end time, and the number of seats requested.",False,Functional,Booking Core,Simple,,,,,"the room identifier, date, start time, end time, and the number of seats","the room identifier, date, start time, end time, and the number of seats",,
5,The system shall prevent a student from booking more than 2 active reservations per day and more than 6 per week.,False,Functional,Booking Core,Simple,,than 2 active reservations per day,,,,,a student &-& booking,a student
6,"If the student already has an active booking for the same time range, the system shall block creating another booking for that time range.",True,Functional,Booking Core,Conditional,,"If the student already has an active booking for the same time range, &-& student already has an active booking for the same time range",student already has an active booking for the same time range,,active booking for the same time range,,the student &-& booking for that time range,the student
7,"A student shall be able to cancel a booking up to 30 minutes before the start time; otherwise, the system shall mark it as late-cancel.",True,Functional,Check-in & Penalties,Nested/Conditional,,,,,cancel a booking,,student &-& a booking,student
8,"If a reservation is canceled, the system shall immediately release the reserved seats and notify students on the waitlist, if any.",True,Functional,Waitlist,Conditional,,"If a reservation is canceled, &-& reservation is canceled &-& if any.",reservation is canceled,,release the reserved seats and notify students,release the reserved seats and notify students,the system,the system
9,A student shall be able to join a waitlist for a fully booked room on a specific date.,False,Functional,Waitlist,Simple,,for a fully booked,for a fully booked,,join a waitlist,,student &-& a waitlist,student
10,"When a room becomes available, the system shall offer the slot to the first student on the waitlist and give 10 minutes to confirm.",True,Functional,Waitlist,Conditional,,"When a room becomes available, &-& room becomes available",room becomes available,"When a room becomes available,",shall offer the slot to the first student on the waitlist and give 10 minutes to confirm.,shall offer the slot to the first student on the waitlist and give 10 minutes to confirm.,the system &-& waitlist,the system
11,"If the student does not confirm within 10 minutes, the system shall offer the slot to the next student on the waitlist.",True,Functional,Waitlist,Nested/Conditional,,"If the student does not confirm within 10 minutes,","If the student does not confirm within 10 minutes,",,offer the slot to the next student on the waitlist,offer the slot to the next student on the waitlist,the system,the system
12,The system shall send a booking confirmation via email and in-app notification within 1 minute after a successful reservation.,False,Non-functional,Notifications,Conditional,,notification within 1 minute,,,shall send a booking confirmation via email and in-app notification within 1 minute after a successful reservation. &-& booking confirmation,shall send a booking confirmation via email and in-app notification within 1 minute after a successful reservation.,The system &-& confirmation,The system
13,A student shall be able to check in for a seat reservation starting 10 minutes before the start time until 15 minutes after the start time.,False,Functional,Check-in & Penalties,Simple,,,,,check in for a seat reservation,,student,student
14,"If no check-in occurs by 15 minutes after the start time, the system shall automatically cancel the booking and record a no-show.",True,Functional,Check-in & Penalties,Nested/Conditional,,"If no check-in occurs by 15 minutes after the start time, &-& occurs by 15 minutes after the start time",occurs by 15 minutes after the start time,,automatically cancel the booking and record a no-show,automatically cancel the booking and record a no-show,the system,the system
15,"If a no-show is recorded three times within 30 days, the system shall suspend the student's booking privileges for 7 days.",True,Functional,Check-in & Penalties,Nested/Conditional,,"If a no-show is recorded three times within 30 days,",,,suspend the student's booking privileges for 7,suspend the student's booking privileges for 7,the system,the system
16,"The system shall display room capacity, equipment (e.g., whiteboard, projector), and accessibility features before booking.",False,Functional,Booking Core,Simple,,,,,"shall display room capacity, equipment (e.g., whiteboard, projector), and accessibility features before booking. &-& display room","shall display room capacity, equipment (e.g., whiteboard, projector), and accessibility features before booking.",The system,The system
17,A student shall be able to filter rooms by minimum capacity and required equipment.,False,Functional,Search & Discovery,Conditional,,minimum capacity &-& required equipment,,,filter rooms,,student &-& rooms,student
18,"If the number of seats requested exceeds the remaining available seats, the system shall prevent the reservation and explain the capacity constraint.",True,Functional,Search & Discovery,Conditional,,"If the number of seats requested exceeds the remaining available seats,",,,"requested exceeds the remaining available seats, the &-& shall prevent the reservation and explain the capacity",shall prevent the reservation and explain the capacity,,
19,A student shall be able to modify an existing reservation only if the new time slot satisfies booking limits and does not overlap the student's other reservations.,True,Functional,Booking Core,Conditional,,if the new time slot satisfies booking limits and does not overlap the student's other reservations. &-& slot satisfies booking limits,slot satisfies booking limits,,existing reservation,,reservation &-& the student,the student
20,"The system shall log all booking creations, modifications, cancellations, and no-show events with timestamp and user ID.",False,Non-functional,Check-in & Penalties,Simple,,,,,"shall log all booking creations, modifications, cancellations, and no-show events with timestamp and user ID. &-& log all booking creations, modifications, cancellations, and","shall log all booking creations, modifications, cancellations, and no-show events with timestamp and user ID.",The system,The system
21,"Administrative staff shall be able to create rooms and define their campus, opening hours, and maximum reservation length.",False,Functional,Admin & Reporting,Simple,,,,,,,Administrative staff &-& rooms,Administrative staff
22,The system shall enforce that no reservation can exceed the maximum reservation length defined for that room.,False,Functional,Booking Core,Simple,,,,,shall enforce that no reservation can exceed the maximum reservation length defined for that room. &-& enforce that no reservation can exceed the,shall enforce that no reservation can exceed the maximum reservation length defined for that room.,The system,The system
23,"If a student attempts to book outside the room opening hours, the system shall reject the request and show valid hours.",True,Functional,Booking Core,Conditional,,"If a student attempts to book outside the room opening hours, &-& book outside the room opening hours",book outside the room opening hours,,book outside the,,student,student
24,"The system shall allow staff to block a room for maintenance; during maintenance, the room shall not appear as available.",False,Functional,Admin & Maintenance,Simple,,,,,block a room for maintenance,,staff &-& room for maintenance,staff
25,"If a maintenance block overlaps existing bookings, the system shall notify affected students and offer alternative rooms of similar capacity.",True,Functional,Waitlist,Nested/Conditional,,"If a maintenance block overlaps existing bookings, &-& maintenance block overlaps existing bookings",maintenance block overlaps existing bookings,,shall notify affected students and offer alternative rooms of similar capacity.,shall notify affected students and offer alternative rooms of similar capacity.,the system,the system
26,The system shall support group bookings where a student invites other students; invited students shall receive an invite and can accept or decline.,False,Functional,Group Booking,Simple,,,,,support group bookings,,group bookings &-& a student,a student
27,"If fewer than 50% of invited students accept by 2 hours before the start time, the system shall prompt the organizer to confirm or cancel.",True,Functional,Group Booking,Nested/Conditional,,"If fewer than 50% of invited students accept by 2 hours before the start time, &-& fewer than 50% of invited students accept",fewer than 50% of invited students accept,,shall prompt the organizer to confirm or cancel.,shall prompt the organizer to confirm or cancel.,the system,the system
28,The system shall allow the organizer to remove an invited student before the booking start time and notify the removed student.,False,Functional,Group Booking,Simple,,,,,remove an invited student,,invited student &-& student,student
29,The system shall provide a calendar view of a student's upcoming bookings and allow exporting as iCalendar (.ics).,False,Functional,Booking Core,Simple,,,,,,,student &-& bookings,student
30,The system shall support single sign-on using the university identity provider; unauthenticated users shall have read-only access to availability.,False,Non-functional,Security & Identity,Simple,,,,,availability,,unauthenticated user &-& availability,unauthenticated user
31,"The system shall store personal data (name, email, student ID) encrypted at rest and transmit it over TLS.",False,Non-functional,Notifications,Simple,,,,,"shall store personal data (name, email, student ID) encrypted at rest and transmit it over TLS. &-& store personal data","shall store personal data (name, email, student ID) encrypted at rest and transmit it over TLS.",The system &-& personal data,The system
32,"A student shall be able to report a room issue (e.g., broken equipment); the system shall create a ticket and notify staff.",False,Functional,Admin & Reporting,Simple,,,,,report a room issue,,student &-& room issue,student
33,"If a room issue is marked as critical by staff, the system shall automatically block the room until the issue is resolved.",True,Functional,Admin & Reporting,Nested/Conditional,,"If a room issue is marked as critical by staff,",,,shall automatically block the room until the issue is resolved.,shall automatically block the room until the issue is resolved.,the system,the system
34,The system shall display a fair-use policy and require explicit acceptance before the first booking.,False,Functional,Booking Core,Simple,,,,,shall display a fair-use policy and require explicit acceptance before the first booking.,shall display a fair-use policy and require explicit acceptance before the first booking.,The system,The system
35,"If the student violates the fair-use policy (e.g., repeated no-shows), the system shall warn the student and escalate penalties on repeat.",True,Functional,Check-in & Penalties,Conditional,,"If the student violates the fair-use policy (e. &-& If the student violates the fair-use policy (e.g.,",,,the fair-use policy &-& shall warn the student and escalate penalties on repeat.,shall warn the student and escalate penalties on repeat.,fair-use policy &-& the system,the system
36,The system shall provide administrative reports showing utilization rate per room and peak booking hours for the last 30 days.,False,Functional,Admin & Reporting,Simple,,,,,,,The system,The system
37,"For any search query, the system shall return results within 2 seconds for 95% of requests under normal load.",False,Non-functional,Search & Discovery,Conditional,,,,,shall return results within 2 seconds for 95% of requests under normal load.,shall return results within 2 seconds for 95% of requests under normal load.,the system,the system
38,"If the notification service is unavailable, the system shall queue notifications and retry for up to 24 hours without losing booking data.",True,Non-functional,Notifications,Nested/Conditional,,"If the notification service is unavailable, &-& retry for up to 24 hours",,,shall queue notifications and retry for up to 24 hours without losing booking data.,shall queue notifications and retry for up to 24 hours without losing booking data.,the system &-& notifications and retry,the system
39,"The system shall support English and Italian UI languages, and the user shall be able to switch language in settings.",False,Non-functional,Other,Simple,,,,,switch language,,languages &-& the user,the user
40,"If two reservation requests for the same room and time slot arrive concurrently and the remaining seats are insufficient, the system shall allocate seats atomically so that capacity is never exceeded and the losing request receives a conflict error.",True,Non-functional,Concurrency,Nested/Conditional,so that capacity is never exceeded and the losing request receives a conflict error,"If two reservation requests for the same room and time slot arrive concurrently and the remaining seats are insufficient,",,,shall allocate seats atomically so that capacity is never exceeded and the losing request receives a conflict error.,shall allocate seats atomically so that capacity is never exceeded and the losing request receives a conflict error.,the system,the system
41,"A student shall be able to create a recurring weekly seat reservation for the same room and time slot for up to 4 consecutive weeks, provided all occurrences satisfy booking limits and opening hours.",False,Functional,Booking Core,Conditional,,provided all occurrences satisfy booking limits,provided all occurrences satisfy booking limits,,create a recurring weekly seat reservation for,,student,student
42,"If a student checks in after the reservation start time, the system shall keep the original end time and shall not extend the reservation duration.",True,Functional,Booking Core,Conditional,,"If a student checks in after the reservation start time,",,,shall keep the original end time and shall not extend the reservation duration.,shall keep the original end time and shall not extend the reservation duration.,the system,the system
43,"The system shall display the building, floor, and a link to the room floor plan before a student confirms a booking.",False,Functional,Booking Core,Simple,,display the building,,,"display the building, floor, and a link &-& display the building, floor, and a link to the room floor plan before a student confirms","display the building, floor, and a link to the room floor plan before a student confirms",The system,The system
44,"Administrative staff shall be able to define a cleaning buffer time between bookings for each room (e.g., 10 minutes), and the system shall prevent bookings that violate the buffer.",False,Functional,Admin & Reporting,Simple,,system shall prevent bookings that violate the buffer,,,define a cleaning buffer time,,Administrative staff &-& cleaning buffer time,Administrative staff
45,"When occupancy sensors are available for a room, the system shall automatically record check-in if occupancy is detected within the allowed check-in window.",True,Functional,Search & Discovery,Nested/Conditional,,"When occupancy sensors are available for a room &-& When occupancy sensors are available for a room, &-& if occupancy is detected within the allowed check-in window. &-& occupancy is detected within the allowed check-in window &-& detected within the allowed check-in window",When occupancy sensors are available for a room &-& occupancy is detected within the allowed check-in window,"When occupancy sensors are available for a room &-& When occupancy sensors are available for a room,",shall automatically record check-in if occupancy is detected &-& shall automatically record check-in if occupancy is detected within the allowed check-in window.,shall automatically record check-in if occupancy is detected within the allowed check-in window.,the system &-& record check-in if occupancy is detected,the system
46,The system shall achieve at least 99.5% monthly uptime excluding scheduled maintenance windows announced in advance.,False,Non-functional,Admin & Maintenance,Simple,,at least 99.5% monthly uptime &-& excluding scheduled maintenance windows announced in advance,,,shall achieve at least 99.5% monthly uptime excluding scheduled maintenance windows announced in advance.,shall achieve at least 99.5% monthly uptime excluding scheduled maintenance windows announced in advance.,The system,The system
47,"All public API endpoints shall enforce rate limiting of 60 requests per minute per user; if the limit is exceeded, the system shall return an HTTP 429 error and a retry-after time.",True,Non-functional,Concurrency,Conditional,,"60 requests per minute per user; if the &-& if the limit is exceeded,",,,"shall enforce rate limiting &-& shall enforce rate limiting of 60 requests per minute per user; if the limit is exceeded, the system shall return an HTTP 429 error and a retry-after time.","shall enforce rate limiting of 60 requests per minute per user; if the limit is exceeded, the system shall return an HTTP 429 error and a retry-after time.",rate limiting &-& the system,the system
48,"Unauthenticated users shall be able to view room availability and room features, but the system shall hide personal booking details and user identifiers.",False,Functional,Security & Identity,Simple,,shall hide personal booking details &-& and user identifiers,,,view room availability and room features,,Unauthenticated user &-& room availability and room features,Unauthenticated user
49,"Staff actions that change system state (e.g., creating rooms, blocking rooms, marking issues critical) shall require role-based access control and shall be recorded in an immutable audit log.",False,Non-functional,Admin & Reporting,Simple,,,,,shall require role-based access control and shall be recorded in an immutable audit log.,shall require role-based access control and shall be recorded in an immutable audit log.,system,system
50,"If a student reports that a booked room is occupied by others at the start time, the system shall create a priority ticket for staff and offer alternative rooms of similar capacity when available.",True,Functional,Waitlist,Nested/Conditional,,"If a student reports that a booked room is occupied by others at the start time, &-& student reports that a booked room is occupied by others at the start time",student reports that a booked room is occupied by others at the start time,,create a priority ticket for staff and offer alternative rooms of similar capacity when available.,create a priority ticket for staff and offer alternative rooms of similar capacity when available.,the system,the system
51,"Before the student can submit a reservation request, the student must be authenticated. When the student submits a reservation request, the system shall approve the reservation if the room is available, so that the student can secure a seat.",True,Functional,Booking Core,Nested/Conditional,the student can secure a seat,the room is available,the student must be authenticated,"When the student submits a reservation request,",submits a reservation request,approve the reservation,reservation request &-& reservation &-& the student,the student
52,"Before the student can submit a reservation request, the student must be registered. When the student submits a reservation request, the system shall approve the reservation if the time slot is within opening hours, so that the schedule stays accurate.",True,Functional,Booking Core,Nested/Conditional,the schedule stays accurate,the time slot is within opening hours,the student must be registered,"When the student submits a reservation request,",submits a reservation request,approve the reservation,reservation request &-& reservation &-& the student,the student
53,"Before the student can submit a reservation request, the student must be verified. When the student submits a reservation request, the system shall approve the reservation if the reservation does not overlap another booking, so that double bookings are prevented.",True,Functional,Booking Core,Nested/Conditional,double bookings are prevented,the reservation does not overlap another booking,the student must be verified,"When the student submits a reservation request,",submits a reservation request,approve the reservation,reservation request &-& reservation &-& the student,the student
54,"Before the student can submit a reservation request, the student must be in good standing. When the student submits a reservation request, the system shall approve the reservation if the user has no unpaid penalties, so that resources are used efficiently.",True,Functional,Booking Core,Nested/Conditional,resources are used efficiently,the user has no unpaid penalties,the student must be in good standing,"When the student submits a reservation request,",submits a reservation request,approve the reservation,reservation request &-& reservation &-& the student,the student
55,"Before the student can submit a reservation request, the student must be authorized. When the student submits a reservation request, the system shall approve the reservation if the request is complete, so that the waitlist remains fair.",True,Functional,Booking Core,Nested/Conditional,the waitlist remains fair,the request is complete,the student must be authorized,"When the student submits a reservation request,",submits a reservation request,approve the reservation,reservation request &-& reservation &-& the student,the student
